ID,cardID,layout,name,manaCost,cmc,colors,rarity,type,types,subtypes,text,flavorText,power,toughness,colorIdentity,multiverseID,expansion,price,inventory,foilPrice,foilInventory,priceLastUpdated,onlineOnlyVersion,backroom,showcase,foilBackroom,foilShowcase
148013,afabe3a79c0e413e32de7b8c137e374ac74d4a85,normal,Garbage Elemental (a),{4}{R},5,Red,Uncommon,Creature — Elemental,Creature,Elemental,"Frenzy 2 (Whenever this creature attacks and isn't blocked, it gets +2/+0 until end of turn.)
Garbage Elemental can't be blocked by wordy creatures. (A creature is wordy if it has four or more lines of rules text.)",,2,4,R,439471,Unstable,-1,0,-1,0,0,0,0,0,0,0
148014,69c823db468abe248370f842357a56dca3df42ca,normal,Garbage Elemental (b),{4}{R},5,Red,Uncommon,Creature — Elemental Rigger,Creature,"Elemental,Rigger","When Garbage Elemental enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",,3,1,R,439630,Unstable,-1,0,-1,0,0,0,0,0,0,0
148015,fc1cf36bb9ee97335bd4ed6922cac1c92014e8d6,normal,Garbage Elemental (c),{4}{R},5,Red,Uncommon,Creature — Elemental,Creature,Elemental,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
When Garbage Elemental enters the battlefield, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results.",,3,2,R,439631,Unstable,-1,0,-1,0,0,0,0,0,0,0
148016,8e4ed5274701a05b97a1b68d359b90fc760eae35,normal,Garbage Elemental (d),{4}{R},5,Red,Uncommon,Creature — Elemental,Creature,Elemental,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
When Garbage Elemental enters the battlefield, roll a six-sided die. Garbage Elemental deals damage equal to the result to target opponent.",,3,3,R,439632,Unstable,-1,0,-1,0,0,0,0,0,0,0
148017,b14ab47ae90d01f0dc16450258f7a9aef67c437a,normal,Garbage Elemental (e),{4}{R},5,Red,Uncommon,Creature — Elemental,Creature,Elemental,Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
Each creature you control with any kind of counter on it has art menace. (They can't be blocked except by creatures with two or more visible figures in their art.),,4,3,R,439633,Unstable,-1,0,-1,0,0,0,0,0,0,0
148018,bf81b4e9357ce98e844c8c03b07da828297185e9,normal,Garbage Elemental (f),{4}{R},5,Red,Uncommon,Creature — Elemental,Creature,Elemental,"Last strike (This creature deals combat damage after creatures without last strike.)
Battalion — Whenever Garbage Elemental and at least two other creatures attack, target creature can't block this turn.",,6,5,R,439634,Unstable,-1,0,-1,0,0,0,0,0,0,0
148055,697aa65c7d4f2a025713f00a2c5919ad70c92945,normal,Ineffable Blessing (a),{1}{G},2,Green,Rare,Enchantment,Enchantment,,"As Ineffable Blessing enters the battlefield, choose Flavorful or Bland.
• Flavorful — Whenever a creature with flavor text enters the battlefield under your control, draw a card.
• Bland — Whenever a creature without flavor text enters the battlefield under your control, draw a card.","Hallowed be this assemblage of various stuff!",,,G,439502,Unstable,-1,0,-1,0,0,0,0,0,0,0
148056,7358a32675211204abc11a744dd8b87eb1993a3a,normal,Ineffable Blessing (b),{1}{G},2,Green,Rare,Enchantment,Enchantment,,"As Ineffable Blessing enters the battlefield, choose an artist.
Whenever a creature with art by the chosen artist enters the battlefield under your control, draw a card.","Hallowed be this assortment of diverse things!",,,G,439635,Unstable,-1,0,-1,0,0,0,0,0,0,0
148057,9b6c369f558c53fa05b0352be97fd5f150acb06f,normal,Ineffable Blessing (c),{1}{G},2,Green,Rare,Enchantment,Enchantment,,"As Ineffable Blessing enters the battlefield, choose white-bordered or silver-bordered.
Whenever a creature with the chosen border enters the battlefield under your control, draw a card.","Hallowed be this collection of miscellaneous items!",,,G,439636,Unstable,-1,0,-1,0,0,0,0,0,0,0
148058,2ada800c336c57ef9afc64bfc5c9302fc4848cb0,normal,Ineffable Blessing (d),{1}{G},2,Green,Rare,Enchantment,Enchantment,,"As Ineffable Blessing enters the battlefield, choose a rarity.
Whenever a creature with the chosen rarity enters the battlefield under your control, draw a card.","Hallowed be this compilation of mixed objects!",,,G,439637,Unstable,-1,0,-1,0,0,0,0,0,0,0
148059,320eee03752d43de874caa91ff9ff93df6f774a5,normal,Ineffable Blessing (e),{1}{G},2,Green,Rare,Enchantment,Enchantment,,"As Ineffable Blessing enters the battlefield, choose odd or even.
Whenever a creature with a collector number of the chosen value enters the battlefield under your control, draw a card.","Hallowed be this gathering of eclectic products!",,,G,439638,Unstable,-1,0,-1,0,0,0,0,0,0,0
148060,527e421a9561ed77a1fe0a3d41c4ce62ca9fa8a9,normal,Ineffable Blessing (f),{1}{G},2,Green,Rare,Enchantment,Enchantment,,"As Ineffable Blessing enters the battlefield, choose a number.
Whenever a creature with exactly the chosen number of words in its name enters the battlefield under your control, draw a card. (Hyphenated words are one word.)","Hallowed be this potpourri of sundry goods!",,,G,439639,Unstable,-1,0,-1,0,0,0,0,0,0,0
148077,b365c187725c797ae24b724793ae612380b1af5e,normal,Dr. Julius Jumblemorph,{2}{G}{W},4,"White,Green",Mythic Rare,Legendary Creature,Creature,,"Dr. Julius Jumblemorph is every creature type (even if this card isn't on the battlefield).
Whenever a host enters the battlefield under your control, you may search your library and/or graveyard for a card with augment and combine it with that host. If you search your library this way, shuffle it.",,4,4,"W,G",439519,Unstable,-1,0,-1,0,1517760313093,0,0,0,0,0
148082,706f53610f016bfee503cd5e070b9dab2087a3a2,normal,"Phoebe, Head of S.N.E.A.K.",{1}{U}{B},3,"Blue,Black",Mythic Rare,Legendary Creature — Human Spy,Creature,"Human,Spy","Phoebe, Head of S.N.E.A.K. can't be blocked by creatures with flavor text.
{2}{U}{B}: Phoebe permanently steals target creature's text box. (That creature loses all rules text, flavor text, and watermarks. This creature gains them.)",This space intentionally left blank.,2,3,"U,B",439524,Unstable,-1,0,-1,0,1517760313312,0,0,0,0,0
148084,b4340a578475edd9a68deaee223155e387f7f405,normal,X,{U}{B},2,"Blue,Black",Rare,Legendary Creature — Human Spy,Creature,"Human,Spy","As long as X is in X's owner's opponent's hand, X's owner may cast X and activate X's abilities. That opponent can't cast X and plays with his or her hand revealed.
{U}{B}, {T}: Put X into target opponent's hand.
{3}{U}{B}: You may play a card in the same hand as X without paying its mana cost.",,2,2,"U,B",439526,Unstable,-1,6,-1,0,1517760313494,0,0,0,0,0
148097,8ca22f24bc03a2555804c7de446a7de861d34d21,normal,Everythingamajig (a),{5},5,,Rare,Artifact,Artifact,,"{2}, {T}: Move a counter from one permanent onto another. If the second permanent refers to any kind of counter, the moved counter becomes one of those counters. Otherwise, it becomes a +1/+1 counter.
{3}, {T}: Put a +1/+1 counter on target creature.
{4}, {T}: Proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)",,,,,439536,Unstable,-1,0,-1,0,0,0,0,0,0,0
148098,041aeba59de183e0abc3711bc969ea4869188025,normal,Everythingamajig (b),{5},5,,Rare,Artifact,Artifact,,"{2}, {T}: Draw a card. Activate this ability only if you have no cards in hand.
{8}, {T}: You gain 10 life.
{4}, {T}, Sacrifice Everythingamajig: You may put a silver-bordered permanent card from your hand onto the battlefield.",,,,,439640,Unstable,-1,0,-1,0,0,0,0,0,0,0
148099,d667b8c6793c162a23315dd0d401a2e495cda4ef,normal,Everythingamajig (c),{5},5,,Rare,Artifact,Artifact,,"{1}: Flip a coin. If you win the flip, add {C}{C} to your mana pool. Activate this ability only any time you could cast an instant.
{3}, {T}: Target player discards a card. Activate this ability only during your turn.
{X}: Everythingamajig becomes an X/X Construct artifact creature until end of turn.",,,,,439641,Unstable,-1,0,-1,0,0,0,0,0,0,0
148100,a6642db82b2ef3903bf0c515ead493be32854c56,normal,Everythingamajig (d),{6},6,,Rare,Artifact,Artifact,,"{T}: Add one mana of any color to your mana pool.
{1}, {T}: Say the flavor text on a card in your hand. Target opponent guesses that card's name. You may reveal that card. If you do and your opponent guessed wrong, draw a card.
{8}, {T}: Everythingamajig deals 12 damage to target creature.",,,,,439642,Unstable,-1,0,-1,0,0,0,0,0,0,0
148101,a61081333ab8779583cb272bf16cbd7fdba359d8,normal,Everythingamajig (e),{5},5,,Rare,Artifact,Artifact,,"Sacrifice a land: You gain 2 life.
Sacrifice a creature: Add {C}{C} to your mana pool.
{2}, Discard a card: Search your library for a card that shares a complete word in its name with the name of the discarded card, reveal it, put it into your hand, then shuffle your library.",,,,,439643,Unstable,-1,0,-1,0,0,0,0,0,0,0
148102,056420bf24b637df1b27539549b9084bd4f119ee,normal,Everythingamajig (f),{8},8,,Rare,Artifact,Artifact,,"{1}, {T}: Scry 2.
{1}, {T}, Pay 1 life: Create a 0/1 white Goat creature token.
{7}, {T}, Sacrifice Everythingamajig: Choose target player. At the beginning of the next end step, exchange life totals with that player, exchange control of all permanents you and that player control, and exchange cards in your hands, cards in your libraries, and cards in your graveyards.",,,,,439644,Unstable,-1,0,-1,0,0,0,0,0,0,0
148185,9856e1df63e12fca265d0499331ebfe2599402e2,normal,Erase (Not the Urza's Legacy One),{2}{W},3,White,Common,Instant,Instant,,"If you control two or more white permanents that share an artist, you may cast Erase (Not the Urza's Legacy One) without paying its mana cost.
Exile target enchantment.","Synonyms for ""erase"" we haven't used: ablate, , chafe, fray, , scuff, and scrub.",,,W,74275,Unhinged,-1,0,-1,0,0,0,0,0,0,0
148213,67489d30eb8d723e97627d8b3b90700536515e4b,normal,Mise,{U},1,Blue,Uncommon,Instant,Instant,,"Choose a nonland card name, then reveal the top card of your library. If that card has the chosen name, you draw three cards.",mise 'miz v alter. of might as well (1997) 1: to win when you don't deserve to 2: to top-deck the "tings" you need 3: to be rewarded by an opponent's bad luck 4: to coin a phrase that spreads through the tournament scene like wildfire 5: to fling a monkey 6: to split firewood using a sharp instrument 7: To burn,,,U,74304,Unhinged,-1,0,-1,0,1517760318154,0,0,0,0,0
148219,e48352212aa3bc3affc26b248a514dee580a6cc3,normal,"Richard Garfield, Ph.D.",{3}{U}{U},5,Blue,Rare,Legendary Creature — Human Designer,Creature,"Human,Designer",You may play cards as though they were other Magic cards of your choice with the same mana cost. You can't choose the same card twice. (Mana cost includes color.),And yea he doth spake: "Let there be Magic.",2,2,U,74250,Unhinged,-1,0,-1,0,1517760318463,0,0,0,0,0
148255,83e81f31044dac803c06a79d8a8736d4f1d983ea,normal,Goblin S.W.A.T. Team,{3}{R},4,Red,Common,Creature — Goblin Warrior,Creature,"Goblin,Warrior",Say "Goblin S.W.A.T. Team": Put a +1/+1 counter on Goblin S.W.A.T. Team unless an opponent swats the table within five seconds. Activate this ability only once each turn.,They put the "special" in special weapons and tactics.,2,2,R,74314,Unhinged,-1,0,-1,0,1517760318744,0,0,0,0,0
148263,f8ede58f27b6a057cecdc9726aa9dfdd12575014,normal,Sauté,{1}{R}{R},3,Red,Common,Instant,Instant,,Sauté deals 3½ damage to target creature or player.,"""Selecting the proper beeble is the key to a good sauté. The pinker the fur and the heartier the yelp, the more succulent the beeble will be when you pop it in your mouth.""
—Asmoranomardicadaistinaculdacar,
The Underworld Cookbook,",,,R,74242,Unhinged,-1,0,-1,0,1517760319045,0,0,0,0,0
148282,1ad9ee317a3e73fb70bceaa39539120e1edb5896,normal,Our Market Research Shows That Players Like Really Long Card Names So We Made this Card to Have the Absolute Longest Card Name Ever Elemental,{1}{G}{G},3,Green,Common,Creature — Elemental,Creature,Elemental,"Art rampage 2 (Whenever this creature becomes blocked by a creature, it gets +2/+2 for each creature in the blocker's art beyond the first.)",Just call it OMRSTPLRLCNSWMTCTHTALCNEE for short.,2,2,G,74237,Unhinged,-1,0,-1,0,1517760319370,0,0,0,0,0
148286,66ad57c0755715223972dda4f40aa154cf8c371f,normal,S.N.O.T.,{G},1,Green,Common,Creature — Ooze,Creature,Ooze,"You may have S.N.O.T. enter the battlefield stuck to another creature named S.N.O.T. If you do, all those creatures form a single creature.
S.N.O.T.'s power and toughness are each equal to the square of the number of cards named S.N.O.T. stuck together to form it. (One is a 1/1, two are a 4/4, three are a 9/9, and four are a 16/16. If you manage to get -1 S.N.O.T.s stuck together, it's a 1/1.)",,*²,*²,G,73942,Unhinged,-1,0,-1,0,1517760319666,0,0,0,0,0
148295,055c6cb10f5214368803d26b4d814c23717dd1fe,split,Who,{X}{W},1,White,Rare,Instant,Instant,,Target player gains X life.,,,,"W,R,U,B,G",74358,Unhinged,-1,0,-1,0,1517760319995,0,0,0,0,0
148333,e7b1b2ac5d3c54f9ce4c169d5f76d19bca3e9134,normal,Chicken à la King,{1}{U}{U},3,Blue,Rare,Creature — Chicken,Creature,Chicken,"Whenever a 6 is rolled on a six-sided die, put a +1/+1 counter on each Chicken. (You may roll dice only when instructed to.)
Tap an untapped Chicken you control: Roll a six-sided die.","During the Chicken Revolution, the king managed to keep his head while the others—well, just ran around.",2,2,U,9749,Unglued,-1,0,-1,0,1517760320312,0,0,0,0,0
148344,293e696af02708e7c1f06263ac6aa0f88619c26b,normal,B.F.M. (Big Furry Monster),,0,,Rare,"Creature — The Biggest, Baddest, Nastiest,",Creature,"The,Biggest,,Baddest,,Nastiest,","You must cast both B.F.M. cards to put
leaves the battlefield, sacrifice the other.
B.F.M. can't be blocked except by three or","""It was big. Really, really big. No, bigger
No, more. Look, we're talking krakens and",,,,9780,Unglued,-1,0,-1,0,0,0,0,0,0,0
148345,f507bc33e26dff35c3715e99025d19c567ab6966,normal,"B.F.M. (Big Furry Monster, Right Side)",{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B},15,Black,Rare,Scariest Creature You’ll Ever See,"Scariest,Creature,Ever,See",,B.F.M. onto the battlefield. If one B.F.M. card
more creatures.,"than that. Even bigger. Keep going. More.
dreadnoughts for jewelry. It was big""
—Arna Kennerüd, skyknight",99,99,B,9844,Unglued,-1,0,-1,0,0,0,0,0,0,0
148352,6e00f520d614e019aea255e4c7b080a0b578f93e,normal,Ow,{B},1,Black,Rare,Enchantment,Enchantment,,"Whenever a creature deals damage to a player, that player may say ""Ow"" once for each permanent named Ow. If the player doesn't, Ow deals 1 damage to him or her.",Have you ever noticed how some flavor text has no relevance whatsoever to the card it's on?,,,B,9781,Unglued,-1,0,-1,0,1517760321161,0,0,0,0,0
148369,8cdbf1ab777f480d58113641cb5b0baebba037fa,normal,The Ultimate Nightmare of Wizards of the Coast® Customer Service,{X}{Y}{Z}{R}{R},2,Red,Uncommon,Sorcery,Sorcery,,The Ultimate Nightmare of Wizards of the Coast® Customer Service deals X damage to each of Y target creatures and Z target players.,"The number printed on the card is no longer in service. For help, go to wizards.custhelp.com or find us on Twitter @Wizards_Help.",,,R,9757,Unglued,-1,0,-1,0,1517760321468,0,0,0,0,0
148376,e53753647c1c1eede941d493ae8354769f0e3450,normal,Ghazbán Ogress,{G},1,Green,Common,Creature — Ogre,Creature,Ogre,"When Ghazbán Ogress enters the battlefield, if one player has won more Magic games that day than any other player, that player gains control of Ghazbán Ogress.",,2,2,G,9668,Unglued,-1,0,-1,0,1517760321872,0,0,0,0,0
148400,8c3719c12c810183b1867396e7a76f94daad1318,normal,Plains,,0,,Basic Land,Basic Land — Plains,Land,Plains,,,,,W,9680,Unglued,-1,0,-1,0,1517760335957,0,0,0,0,0
148401,61ac125941b4a66f995aa5d24199532d8626e716,normal,Island,,0,,Basic Land,Basic Land — Island,Land,Island,,,,,U,9677,Unglued,-1,0,-1,0,1517740612260,0,0,0,0,0
148402,856863f3f68a5253e99c747deb125eaa4a20f8ed,normal,Swamp,,0,,Basic Land,Basic Land — Swamp,Land,Swamp,,,,,B,9676,Unglued,-1,0,-1,0,1517740613970,0,0,0,0,0
148403,e2cfec85a4b5591ed7637c83cd18e1221a8c1f2d,normal,Mountain,,0,,Basic Land,Basic Land — Mountain,Land,Mountain,,,,,R,9707,Unglued,-1,0,-1,0,1517740615661,0,0,0,0,0
148404,821f73fe24c0bc0aa104c4772330e3faa963793c,normal,Forest,,0,,Basic Land,Basic Land — Forest,Land,Forest,,,,,G,9683,Unglued,-1,0,-1,0,1517740617325,0,0,0,0,0
148405,f6de7834dd72ee98d5ab8606c48b9d8c38f25055,token,Pegasus token card,,0,,Uncommon,,,,,,,,,4979,Unglued,-1,0,-1,0,1517740617527,0,0,0,0,0
148406,8a4a61eb7f9e8df5cd5736b8c3e3179eab343742,token,Soldier token card,,0,,Uncommon,,,,,,,,,5472,Unglued,-1,0,-1,0,1517740617737,0,0,0,0,0
148407,b8a5217ad13f75629b576201ea687573d8dfc956,token,Zombie token card,,0,,Uncommon,,,,,,,,,5601,Unglued,-1,0,-1,0,1517740617964,0,0,0,0,0
148408,2b3bf3622548dd129bfdc6c723a9a214fd60bdba,token,Goblin token card,,0,,Uncommon,,,,,,,,,5503,Unglued,-1,0,-1,0,1517740618191,0,0,0,0,0
148409,e44d126572003439ca6c1442c3b7b21bbf843af6,token,Sheep token card,,0,,Uncommon,,,,,,,,,5560,Unglued,-1,0,-1,0,1517740618395,0,0,0,0,0
148410,a47493808a9b33587743267eb4934b8de4ce09fc,token,Squirrel token card,,0,,Uncommon,,,,,,,,,5607,Unglued,-1,0,-1,0,1517740618844,0,0,0,0,0
148411,5a6eae4516d959275513c28024c6567944c9a2a0,normal,Serra Angel,{3}{W}{W},5,White,Special,Creature — Angel,Creature,Angel,Flying (This creature can't be blocked except by creatures with flying or reach.)
Vigilance (Attacking doesn't cause this creature to tap.),"Born with wings of light and a sword of faith, this heavenly incarnation embodies both fury and purity.",4,4,W,,Wizards of the Coast Online Store,-1,0,-1,0,1517740619279,0,0,0,0,0
148412,741b2637bc11ba8687f50f1d18b5f447f8056d73,normal,Arena,,0,,Special,Land,Land,,"{3}, {T}: Tap target creature you control and target creature of an opponent's choice he or she controls. Those creatures fight each other. (Each deals damage equal to its power to the other.)",,,,,97042,Media Inserts,-1,0,-1,0,1517740619653,0,0,0,0,0
148415,ac5c2ccd49de2cd2d3ed220719d06b792b9b83b3,normal,Mana Crypt,{0},0,,Special,Artifact,Artifact,,"At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.
{T}: Add {C}{C} to your mana pool.",,,,,97048,Media Inserts,-1,0,-1,0,1517740619991,0,0,0,0,0
148417,52c2bbaf35fb2edcbb865323b004cab93ce43d5d,normal,Giant Badger,{1}{G}{G},3,Green,Special,Creature — Badger,Creature,Badger,"Whenever Giant Badger blocks, it gets +2/+2 until end of turn.",The wizard Greensleeves called a Giant Badger to her aid in an battle with the desert mage Karli.,2,2,G,97045,Media Inserts,-1,0,-1,0,1517740620346,0,0,0,0,0
